shipment_id,destination_city,destination_state,weight_lbs,length_in,width_in,height_in,service_tier,contents,fragile,value_usd,distance_miles
SH-001,Chicago,IL,25,18,14,10,Standard,Electronics,Yes,850,450
SH-002,Phoenix,AZ,15,12,10,8,Express,Documents,No,50,1200
SH-003,Portland,ME,50,24,20,16,Economy,Clothing,No,200,850
SH-004,Miami,FL,8,10,8,6,Standard,Books,No,120,1100
SH-005,Denver,CO,35,20,18,14,Standard,Home Goods,No,450,780
SH-006,Seattle,WA,12,14,12,10,Express,Electronics,Yes,1200,950
SH-007,Boston,MA,40,22,18,16,Economy,Sporting Goods,No,320,380
SH-008,Austin,TX,18,16,14,12,Standard,Office Supplies,No,180,890
SH-009,Atlanta,GA,30,20,16,12,Express,Medical Supplies,Yes,2500,650
SH-010,San Diego,CA,22,18,16,10,Standard,Toys,No,280,1050
SH-011,Philadelphia,PA,45,24,20,18,Standard,Furniture Parts,No,380,290
SH-012,Las Vegas,NV,10,12,10,8,Express,Jewelry,Yes,3500,1150
SH-013,Detroit,MI,55,26,22,20,Economy,Auto Parts,No,420,520
SH-014,Nashville,TN,14,14,12,10,Standard,Musical Instruments,Yes,950,580
SH-015,Portland,OR,28,18,16,14,Standard,Kitchen Appliances,No,340,1180
SH-016,Charlotte,NC,32,20,18,14,Express,Computer Hardware,No,1850,720
SH-017,Minneapolis,MN,20,16,14,12,Standard,Apparel,No,220,680
SH-018,Tampa,FL,38,22,18,16,Economy,Garden Tools,No,190,1050
SH-019,Sacramento,CA,16,14,12,10,Express,Pharmaceuticals,No,4200,1020
SH-020,Cleveland,OH,42,24,20,16,Standard,Industrial Supplies,No,580,410
SH-021,New Orleans,LA,26,18,16,12,Standard,Food Products,No,280,980
SH-022,Salt Lake City,UT,19,16,14,12,Express,Electronics,Yes,1100,890
SH-023,Raleigh,NC,35,20,18,16,Economy,Office Furniture,No,450,650
SH-024,Milwaukee,WI,24,18,14,12,Standard,Hardware,No,310,540
SH-025,Tucson,AZ,11,12,10,8,Standard,Books,No,95,1280
SH-026,Albuquerque,NM,48,24,22,18,Economy,Building Materials,No,520,950
SH-027,Fresno,CA,21,16,14,12,Express,Medical Equipment,Yes,5800,1090
SH-028,Kansas City,MO,33,20,18,14,Standard,Toys,No,380,620
